;Datetime;Close;Predict;P_sma_4;P_sma_10;Signal;Buy_price;Sell_price
751;2021-09-08 12:49:00+01:00;46521.125;46539.8789113391;46525.928719873446;46508.938008680176;2;46521.125;
752;2021-09-08 12:50:00+01:00;46535.9609375;46528.58789644579;46533.23006103285;46510.72758908462;0;;
753;2021-09-08 12:51:00+01:00;46558.91796875;46543.25643922062;46544.4644861501;46513.141137160026;0;;
754;2021-09-08 12:52:00+01:00;46522.1171875;46565.95405446192;46544.419325366856;46519.445526692056;0;;
755;2021-09-08 12:53:00+01:00;46503.65234375;46525.75865979083;46540.88926247979;46523.02238174742;0;;
756;2021-09-08 12:54:00+01:00;46484.50390625;46504.31812392019;46534.82181934839;46524.13382241796;0;;
757;2021-09-08 12:55:00+01:00;46534.16015625;46482.135063099864;46519.541475318205;46525.3725116433;-1;0.0;0.0
758;2021-09-08 12:56:00+01:00;46543.44921875;46532.409111382076;46511.155239548236;46528.67516960069;-2;;46543.44921875
759;2021-09-08 12:57:00+01:00;46523.27734375;46541.12924560515;46514.99788600182;46532.95622028605;0;;
760;2021-09-08 12:58:00+01:00;46548.96875;46519.43295167625;46518.776592940834;46528.286045694185;0;;
761;2021-09-08 12:59:00+01:00;46513.00390625;46546.0830803001;46534.76359724089;46528.90646259028;1;0.0;0.0
762;2021-09-08 13:00:00+01:00;46438.74609375;46508.40848000788;46528.76343939735;46526.888520946486;2;46438.74609375;
763;2021-09-08 13:01:00+01:00;46518.8125;46431.15605305656;46501.2701412602;46515.67848233008;-1;0.0;0.0
764;2021-09-08 13:02:00+01:00;46522.03515625;46514.96105007775;46500.15216586058;46510.57918189166;-2;;46522.03515625
765;2021-09-08 13:03:00+01:00;46488.93359375;46519.844751078366;46493.59258355513;46509.98779102042;0;;
766;2021-09-08 13:04:00+01:00;46522.3671875;46486.866555853085;46488.20710251644;46508.242634213704;0;;
767;2021-09-08 13:05:00+01:00;46554.9765625;46523.11570033181;46511.19701433525;46512.3406979369;0;;
768;2021-09-08 13:06:00+01:00;46584.3984375;46558.80258220909;46522.157397368086;46514.980045019605;1;0.0;0.0
769;2021-09-08 13:07:00+01:00;46612.984375;46590.879177085844;46539.916003869956;46519.95503816767;2;46612.984375;
770;2021-09-08 13:08:00+01:00;46623.640625;46621.54299459859;46573.58511355633;46530.16604245991;0;;
771;2021-09-08 13:09:00+01:00;46663.953125;46632.970487501065;46601.04881034864;46538.85478318001;0;;
772;2021-09-08 13:10:00+01:00;46615.90625;46674.363518782586;46629.93904449202;46555.45028705747;0;;
